question,bloom_level
Label the parts of a flower.,Understand
Evaluate THREE (3) neurocognitive difficulties that may be experienced by people with suicidal-related behaviors. ,Evaluate
Compose music for a frog play.,Understand
Define transducer and state detailed classification of transducers.,Remember
How to construct the selected information system,Understand
Demonstrate the steps of a chemical synthesis in a laboratory setting.,Apply
Differentiate between compound die and progressive die.,Analyze
Criticize the effectiveness of noise barriers in mitigating traffic noise pollution near residential areas.,Understand
Give the corrected bearing of the following traverse taken from compass survey.,Understand
Describe any three specification of ADC.,Understand
Write down the advantages and disadvantages of gaseous fuel.,Understand
Describe the SEVEN (7) advantages of radio advertising. ,Understand
Select the appropriate variables for a content analysis.,Understand
"Enhanced question with scenario:
""In the context of a Hospital patient management system, explain what is meant by a `BCP command' and provide an example of how it could be used to ensure data integrity and availability during a system failure.",Remember
Show the procedure to calculate the volume of a rectangular prism.,Apply
A rectangular block of material is subjected to stresses on perpendicular faces as shown in figure 4.,Understand
Can you break down the elements of a logical argument?,Understand
Write short note on Data Types in C.,Understand
"Scenario: In a Hospital patient management system, there is a requirement to delete a patient's record from the database upon their discharge. The following code segment is used to achieve this functionality:

```java
Preparedstatement stmt=con.preparestatement(""delete from patients where patient_id=?"");
stmt.setInt(1, 101);
int i=stmt.executeUpdate();
System.out.println(i + "" patient record(s) deleted"");
```

Enhanced question: In a Hospital patient management system, a code segment is provided to delete a patient's record from the database using a Preparedstatement in JDBC. Explain when this type of statement would be used in the context of managing patient data in a hospital setting.",Remember
Write a note on elements of a Configuration Management System.,Understand
"Question:
Consider the following scenario in an e-commerce database system:

You are tasked with creating a stored procedure to output statistics of salary (minimum and maximum) for a given department. The database schema includes tables for departments (dept), employees (emp), and works relationship (works). The stored procedure should accept the department ID (@did) as input and return the maximum salary (@maxm) and minimum salary (@minm) as output parameters.

a) Define a stored procedure named `get_stats` that fulfills the requirements mentioned above.
b) Explain the steps involved in creating and executing the stored procedure in a database management system.
c) Discuss the advantages of using stored procedures for handling statistical calculations in a database system.",Remember
You are tasked with designing a recommendation system for an e-commerce platform. Describe how you would apply collaborative filtering algorithms to personalize product recommendations for users based on their browsing and purchase history.,Understand
"Question:
Consider a scenario where a university is implementing a new database management system. Explain the importance of completing self-test questions on the course website and tutorials in the context of database management systems. 

a) Discuss the benefits of trying out the self-test questions provided on the course website.
b) Explain the significance of completing tutorials in understanding database management systems effectively.",Understand
Elaborate Compaction factor test.,Understand
Evaluate Ë.,Evaluate
Differentiate between Microprocessor and Microcontroller.,Analyze
Apply principles of economics to solve a resource allocation problem.,Apply
Calculate the optimal size of the production run. ,Apply
Model the movement of planets in the solar system.,Understand
"Scenario: In a Hospital patient management system, why is it crucial to perform regular full backups of the database?

Enhanced question: ""In a Hospital patient management system, why is it crucial to perform regular full backups of the database? Provide a detailed explanation of what is meant by a `Full Backup' and discuss the potential consequences of not having up-to-date backups in place.",Remember
Who is the first president   of USA,Understand
"Scenario: Hospital patient management system

Enhanced question: In a hospital patient management system, how would you utilize a `BCP command' to ensure the continuity of critical patient data in the event of a system failure or disaster? Provide a brief explanation of the process and its significance in maintaining data integrity and availability within the hospital's database system.",Understand
"Explain the concept of feature engineering in machine learning, discussing techniques for extracting relevant features from raw data.",Understand
Choose a documentary to recommend for educational purposes.,Understand
Explain deferred database modification and immediate database modification and there difference in the context of recovery.,Understand
Write short note on folding to print style.,Understand
"Consider you're designing a cellular network for urban deployment. Explain how you would plan cell site locations, configure base station antennas, and optimize radio frequency (RF) coverage to provide seamless mobile connectivity.",Understand
Model the spread of a contagious disease in a population.,Understand
Write a note on Evaluation of expression.,Understand
"What associations do you have with the term ""creativity""?",Understand
Can you integrate data analytics into an energy management system?,Understand
What are the factors affecting on Price Determination?,Understand
Predict the consequences of a society becoming cashless.,Understand
How many ways can you . . .?,Understand
"Explain the process of creating a JDBC application for database programming. Provide a step-by-step guide on how to implement the following tasks:
a) Importing the necessary packages
b) Loading the JDBC driver
c) Opening a connection
d) Executing a query
e) Extracting data from the result set
f) Cleaning up the environment by closing all database resources. 

Illustrate your explanation with a scenario from an e-commerce platform where the application needs to retrieve product information from a database to display on the website.",Understand
"Show, through role-play, the final scene in the novel.",Understand
What is cushioning of air cylinder.,Remember
Explain direct access file organization.,Understand
How can we combine and abstract facts about a software system to create new knowledge?,Create
"Question:
Consider the following scenario in a university database:

Given the table ""student"" with attributes StudentID, Name, GPA, and ProgramID, perform the following aggregation query:

a) Write a SQL query to find the average, minimum, and maximum GPA of students.
b) Execute the query on the provided data and calculate the results.
c) Present the output showing the average, minimum, and maximum GPA values for the students in the table.",Remember
Explain a binary tree. Name and explain with suitable example the following terms:,Remember
Find the Fourier cosine integral representation for the function.,Understand
Describe Logical Programming.,Understand
Apply Besselâs central difference formula to obtain f(32) given that,Apply
Show me a demonstration of a science experiment.,Understand
An emf 200 V is in series with a.,Understand
"Scenario: University/SLIIT student enrollment system

Enhanced question: Imagine you are tasked with developing a student enrollment system for a university, such as SLIIT. In this system, you need to define the structure of the database to store student information, construct the database tables to hold data on courses, student details, and enrollment status, manipulate the data to update student records, and share this database among various departments like admissions, academic affairs, and finance. How would you apply the concepts of defining, constructing, manipulating, and sharing databases in this scenario?",Remember
List various types of OS with their basic functions.,Remember
Formulate an algorithm for automatically generating music compositions in different genres using recurrent neural networks and generative models.,Create
What is the difference in calculation of self GMD or GMR of inductance and capacitance?,Remember
"Interpret the concept of slope stability analysis, discussing factors such as soil properties, groundwater conditions, and external forces.",Understand
"Suppose you're assessing the seismic vulnerability of existing buildings in a seismic zone. Explain how you would conduct structural inspections, evaluate seismic retrofit options, and prioritize retrofitting measures based on structural deficiencies and occupancy risks.",Understand
"Scenario: ""In an E-commerce platform similar to Amazon, employee E8 is responsible for managing the product listings in the Electronics department. Which department is employee E8 in? Additionally, identify the employees who are responsible for handling customer inquiries in the Electronics department (D4).",Remember
Explain with example hash functions.,Understand
What research questions would you formulate for a psychology study?,Create
Invent a method for retrofitting existing buildings with energy-efficient systems and renewable energy technologies to reduce carbon emissions and combat climate change.,Create
Can you identify the stages of the water cycle?,Remember
How can you translate historical events into a modern context?,Understand
Explain the process of registering database drivers in a Java program. Provide a real-world scenario where this process would be applicable and give an example of a driver registration using Java's Class.forName() method.,Remember
Explain degrees of freedom and stiffness.,Understand
Devise a method for enhancing the reliability of communication links in deep-space missions through advanced error correction coding and modulation schemes.,Understand
"Scenario: University/SLIIT student enrollment system

Enhanced question: 

In the context of a University/SLIIT student enrollment system, consider a scenario where the database administrator is tasked with designing a new database schema to manage student information. The administrator needs to ensure that the database is properly normalized to BCNF to maintain data integrity and efficiency. 

Explain how incorrect grouping of attributes in relations could lead to data anomalies and inconsistencies in the student enrollment system. Provide examples of such pitfalls that could occur if the database is not properly normalized. Additionally, discuss the key properties of a good decomposition in the context of designing a database schema for student enrollment. 

Furthermore, given a set of functional dependencies related to student data, demonstrate how you would compute keys for the relations in the database schema. Finally, outline the steps you would take to normalize the schema to BCNF, ensuring that the student enrollment system is well-structured and optimized for efficient data management.",Understand
Discriminate between different interpretations of a historical event.,Understand
Explore the role of various fields in Page Level Protection.,Understand
Compare the advantages and disadvantages of using passive and active filters in electronic signal processing applications.,Analyze
Provide labels for the parts of an electric circuit.,Understand
Can you tell me about the stages of grief according to Elisabeth KÃ¼bler-Ross?,Understand
Identify the compounds A and B in the following reactions.,Remember
Develop a new method for assessing the resilience of transportation infrastructure to climate change-induced hazards such as flooding and extreme weather events.,Evaluate
Identify the types of renewable energy sources.,Remember
Suggest FOUR (4) recommendations in dealing with intersexes. ,Understand
"Question:
In the context of a university database system, explain the importance of completing self-test questions, tutorials, and reading course materials for effective learning and understanding of Database Management Systems. Provide examples to support your explanation.",Understand
"Explain the concept of model explainability in machine learning, discussing techniques for interpreting model predictions and building trust with stakeholders.",Understand
Explain RMC with their advantages and disadvantages.,Understand
"Question: In the context of a company's project management database, consider the scenario where employee E3 is assigned to multiple projects. Explain how the issue of a fan trap can arise when determining which projects employee E3 works on. Provide a detailed explanation of the steps involved in identifying the projects that employee E3 is working on in the presence of a fan trap.",Remember
"STEP 3 : OPEN A CONNECTION After the driver is loaded to the memory a connection to the database could be established using the DriverManager.getConnection() method. There are three parameters to the method which are URL of the database, user name and the password. Ex: String url = “jdbc:odbc:dbConn” Connection c = DriverManager.getConnection(url, “user"", “password""); This connection should be closed later using Connection.close()",Remember
Judge the reliability of a network slicing framework in enabling network virtualization and service customization for different applications.,Evaluate
Enlist the benefits and costs of Inheritances.,Remember
Explain the properties of line codes.,Understand
Test the reliability of a new measurement instrument.,Understand
"A construction company is assessing the environmental sustainability of building materials for green building certification. Evaluate the life cycle assessments (LCAs) of construction materials, including embodied carbon, energy consumption, and resource depletion. Propose sustainable material alternatives and green building strategies to minimize environmental impact and achieve LEED certification.",Evaluate
Explain any 3 Welding defects along with remedies.,Understand
"Consider the following question:

**Question:**

In a university database system, the GROUP BY clause is utilized to aggregate data based on a specified column or columns. 

a) Explain the concept of grouping in the context of a database management system. Provide a real-world scenario where grouping would be beneficial and give an example.

b) Using the given data set of students and modules followed, demonstrate how to count the number of students who have followed each module using the GROUP BY clause. Provide the SQL query for this operation.

c) Discuss the significance of the COUNT() function in conjunction with the GROUP BY clause in database queries. How does it contribute to data analysis and reporting in a database management system?",Understand
What is microprocessor?,Remember
Give an instance of using economic theories to analyze the impact of inflation on purchasing power.,Analyze
Derive an expression for armature torque developed in a DC motor.,Create
Debate the ethical considerations of using drones for aerial surveying and mapping in civil engineering projects.,Understand
Give the effective length of column for various end conditions.,Understand
Describe graphic design and product design. ,Understand
Predict the effect on bulk density when a large quantity of organic matter is added into the soil. Justify your answer. ,Evaluate
List the advantages of using steel trusses over timber trusses in building construction?,Remember
Explain the process of natural selection.,Understand
What observations and precautions are necessary during Core Drilling for Preliminary Geological Exploration?,Understand
Vector along the direction of the line.,Understand
With neat sketch explain the HGL and TEL.,Understand
"Explain the concept of price leadership observed under the condition of oligopoly, by using graphs. ",Understand
Design a comprehensive framework for integrating artificial intelligence and machine learning algorithms into telecommunications networks for predictive maintenance and optimization.,Create
"Explain the concept of schema refinement in database management systems and discuss the reasons for its importance. Provide a real-world scenario from a university database where data duplication and anomalies may occur during insert, update, and delete operations. Identify the redundancies in the given schema and explain the potential issues that may arise.",Remember
State which database architectures you will prefer for following application.,Remember
Subsurface exploration can be divided into THREE (3) programs. Explain in detail the conclusion that could be derived from each program.,Understand
"Question:
Consider a scenario where a university maintains a database of student information. 

a) Using the attribute closure method, determine all the keys in relation R for the student database.",Understand
Enlist various types of residential buildings and explain any one in detail.,Remember
How would you classify the different types of educational systems?,Understand
How would you develop a new software application for remote medical consultations?,Create
Can you recall the principles of supply and demand in economics?,Remember
"Solve the one dimensional heat equation 2 2y uktxï¶ï¶ï½ï¶ï¶ subject to conditions. i) u is finite .tï¢ ii) u (0, t) = 0, iii) u(ï°, t) = 0, iv) u( x, 0) = ï°x â x2  0.xï°ï£ï£",Apply
"Explain the concept of digital signal processing (DSP), discussing its applications in audio processing, image processing, and communications.",Understand
Define Transact-SQL local variables and explain their common usage scenarios. Provide a real-world scenario from an e-commerce platform where the use of variables can optimize database operations.,Remember
Give the applications of Two Port Network Parameters and Explain Network Stability.,Understand
Examine cross-docking warehouse layout. ,Apply
What is a segment?,Remember
Show that the vector field F = (8xy + z4) i (4x2 â 2) j + (4xz3 â y) kis irrotational. Find scalar potential function ïª.,Understand
Devise a method for implementing secure and tamper-proof voting systems using blockchain technology to ensure transparency and integrity in elections.,Understand
Explain the following concept.,Understand
Solve a complex graph theory problem related to network routing and evaluate the algorithm's efficiency in real-world scenarios.,Apply
What are elements of Design model?,Create
Categorize the different forms of government.,Understand
"Question:
Explain how attribute closure can be computed using Armstrong Axioms in the context of relational database management systems. Provide a real-world scenario from a university database where attribute closure computation using Armstrong Axioms would be applicable. Additionally, discuss the significance of computing keys using Armstrong Axioms in ensuring data integrity and normalization in database design.",Understand
Identify the five major prophets of the Old Testament.,Remember
Assess the value of attachment theories in developmental psychology.,Evaluate
"**Question:**

Consider the following scenario from a university database:

A university database contains a table named ""student"" with attributes StudentID, Name, GPA, and ProgramID. The table includes the following data:

| StudentID | Name   | GPA | ProgramID |
|-----------|--------|-----|-----------|
| 1000      | Amal   | 3.2 | BM        |
| 1001      | Nimali | 2.8 | IT        |
| 1002      | Aruni  | 3.8 | SE        |
| 1003      | Surani | 2.5 | BM        |
| 1004      | Imali  | 4.0 | IT        |

**(a)** Define the concept of aggregation in the context of a database management system. Provide an example of how aggregation can be used to retrieve information from the ""student"" table.

**(b)** Explain the process of finding the average, minimum, and maximum GPA of students using aggregation functions in SQL. Provide the SQL query syntax for this operation.

**End of Question**",Remember
Propose and justify strategies for optimizing the performance of recommendation systems in e-commerce platforms.,Evaluate
What is heat engine?,Remember
Define Mineral.,Remember
"Question:
Consider a scenario where a university maintains a database to manage student information. 

a) Define the concept of normalization in the context of database management systems. Provide examples to illustrate different normalization forms.
b) Explain the process of denormalization and discuss when it is appropriate to denormalize a database.
c) Compare and contrast the advantages and disadvantages of normalized and denormalized databases in the context of the university database scenario.",Remember
Derive an equation for length of cross belt drive.,Understand
Which is operator overloading?,Understand
Analyse the behavior of subsoil of coarse grained non-cohesive soils and fine grained cohesive soils. ,Understand
Debate the ethical considerations of using facial recognition technology in public surveillance systems for crime prevention.,Understand
"A city is experiencing groundwater depletion and subsidence due to excessive groundwater pumping for irrigation and municipal water supply. Analyze the groundwater recharge techniques (e.g., infiltration basins, recharge wells, artificial recharge) and recommend strategies for replenishing aquifers and mitigating subsidence impacts on infrastructure and land stability.",Analyze
Write short note on Interrupt enable register.,Understand
Critically evaluate the role of civil engineering in climate change adaptation and resilience planning for coastal cities.,Evaluate
Judge the winner of a poetry competition.,Evaluate
"Question:
Explain the concept of overlapping constraints in the context of database design. Provide a real-world scenario from a university environment to illustrate this concept.

a) Define overlapping constraints and discuss how they determine whether two subclasses can contain the same entity.
b) Using a university database scenario, explain the implications of allowing a person to be both a student and a faculty member simultaneously.
c) Discuss the importance of defining overlapping constraints in database management systems and how it impacts data integrity.",Remember
"**Question:**

Explain the process of data manipulation in a database management system with a focus on deleting and updating rows. Provide a real-world scenario to illustrate these operations.

**Scenario:**
In a university database system, the registrar's office needs to manage student records efficiently. 

**a)** Describe the process of deleting a row from a database table using SQL. Provide an example query for deleting a student record with the student ID of 1000.

**b)** Explain the process of updating a row in a database table using SQL. Include the syntax and an example query for updating a student's GPA to 2.8 where the student ID is 1001.",Understand
How might old cooking methods be combined to create innovative fusion cuisine?,Create
Briefly describe the formation of disulfide bond. Suggest ONE role of disulfide bond. ,Understand
"Define the concept of functional dependency (FD) in the context of a relational database. Provide a real-world scenario from a university database and explain how functional dependencies can be applied. Additionally, give an example to illustrate the concept.",Remember
Suppose Phillip wasn't rescued shortly after Timothy's death. How long could he have survived?,Understand
In the model test of a spillway the discharge and velocity of flow over the model were 2.,Understand
State the necessity of starter for 3 phase induction motor.,Remember
Create a new algorithm for optimizing the performance of a database query system under high concurrency and large dataset conditions.,Create
Can you invent a new method for efficient waste disposal?,Create
Outline TWO (2) main causes of inflation. ,Understand
Write an explanatory note on pneumatic conveyors.,Understand
Demonstrate the correct usage of the scientific notation in expressing very large or small numbers.,Apply
"Evaluate the effectiveness of different lubrication techniques (e.g., boundary lubrication, hydrodynamic lubrication, mixed lubrication) in reducing friction and wear in mechanical systems.",Evaluate
"Explain the concept of honeypots in cybersecurity, discussing their role in detecting and analyzing malicious activity.",Understand
All partition walls are of 150 mm thick.,Understand
"Explain the concept of urban drainage systems, discussing components such as stormwater sewers, culverts, and retention ponds.",Understand
Recognize subjectivity in a discussion about the most beautiful artwork.,Understand
Solve a mathematical puzzle using algebraic methods.,Apply
Identify FIVE (5) lists giving advices of how organization can cominunicate with the public during the crisis. Explain your answer with ONE (1) example for each advice given. ,Remember
Name the TWO ways of how molecules bonded to surface. Provide a brief description on the modes of adsorption. ,Remember
Explain the golden rules for User Interface Design.,Understand
How do you create a visually appealing website layout for a travel blog?,Create
Find the quartile deviation and coefficient of quartile deviation of the following frequency distribution.,Understand
Define the concept of functional dependency (FD) in the context of a relational database. Provide a real-world scenario where functional dependencies are relevant and give an example to illustrate this concept.,Remember
What is additive manufacturing?,Remember
"Question:
Consider a scenario in a hotel management system where rooms are assigned to guests. 

a) Retrieve the room numbers, room types, and guest names of currently occupied rooms.",Remember
Judge the winner of a culinary competition.,Evaluate
Explain 3 position relative pole method for synthesis of four bar chain mechanism.,Understand
Explain how koch curves are generated.,Understand
Discriminate between differing opinions on the impact of social media on relationships.,Understand
Compare brushless DC motor with conventional DC motor.,Analyze
"Compare the various authentication methods (e.g., passwords, biometrics, multi-factor authentication) in terms of their security and usability.",Analyze
What is Retained austenite?,Remember
"Question:
Consider a university database scenario. 

a) Define the criteria for a student to be included in the Dean's List for a specific semester in a year. Provide an example to illustrate this definition.

b) Write a SQL query to retrieve the student ID, name, specialization, and GPA of students who are on the Dean's List for the second semester of the year 2022.",Remember
Group these elements based on their shared cultural significance.,Understand
Explain different types of hazards that occur in a pipeline.,Understand
Explain Memory Partitioning in memory management.,Understand
List the steps involved in titration.,Remember
Evaluate the effects of air pollution on public health.,Evaluate
How do you break down a complex psychological concept into its basic principles?,Understand
"Compare the scalability of different database replication techniques (e.g., master-slave replication, master-master replication, sharding) in distributed database systems.",Analyze
Classify and briefly explain different computational methods used in analyzing flows in hydraulic engineering. ,Understand
What is a deadlock?,Remember
"Differentiate between TCP and UDP protocols in terms of their reliability, ordering guarantees, and overhead.",Analyze
Categorize the different types of economic theories.,Understand
If 1G(S)H(S) .(s 1)sï½ï« Find Resonance peak and resonance frequency.,Understand
"Contrast the principles of imperative and functional programming paradigms, discussing their suitability for concurrent and parallel programming tasks.",Analyze
Write an algorithm to evaluate postfix expression.,Evaluate
"Referring to the advertisement design below, evaluate the usage of Dominance and Unity in principles of design.",Evaluate
Classify insulating materials and hence write properties and applications of any two materials from Class C type.,Understand
Can you label the parts of a car engine?,Understand
"Question:
Consider a university database where relation R represents student information. Using the attribute closure method, determine all the keys in relation R. Provide a step-by-step explanation of how the attribute closure method is applied to find keys in a relation.",Understand
Explain the concept of transaction.,Understand
Prestressed concrete is a method for overcoming concrete's natural weakness in tension. Justify the TWO (2) common methods of prestressing. ,Evaluate
Write short note on IEEE 802.,Understand
Mention various features of AT mega 328P.,Understand
For simply supported beam shown in figure 2.,Understand
Formulate a strategy for implementing resilient building codes and standards in earthquake-prone regions to enhance structural safety and minimize damage.,Create
How would you classify the different types of plant species?,Understand
"Question:
Consider the following scenario in a university database:

A university maintains information about employees, departments, and their work relationships. The tables include: emp (eid, ename, age, salary), dept (did, dname, budget, managerId), and works (eid, did, pct_time).

a) Define the concept of views in a database management system and explain their significance. Provide an example from the university database scenario to illustrate the use of views.

b) Create a view named ""dept_info"" that includes the department name, budget, and manager's name. Write the SQL query to create this view based on the given tables and relationships.

c) Discuss the advantages and potential drawbacks of using views in a database system. Provide real-world examples where utilizing views can enhance data management efficiency.",Remember
Measure the customer engagement on social media.,Understand
What is the formula for calculating the area of a rectangle?,Remember
"Question:
Consider the EXISTS operator in SQL used to check if a subquery returns any rows. Provide a real-world scenario where the EXISTS operator can be applied and explain its functionality with an example.

a) Define the EXISTS operator in the context of a database management system. Include a scenario from a university database where the EXISTS operator can be utilized.

b) Explain the process of using the EXISTS operator in a SQL query. Provide step-by-step instructions on how to implement the EXISTS operator in a query to retrieve specific information from a database.

c) Differentiate between using the EXISTS operator and the IN operator in SQL queries. Discuss the advantages and limitations of each operator in terms of query performance and result accuracy.",Remember
Critically analyze the structural integrity of a bridge design under various loading conditions and evaluate the risk of failure.,Analyze
"Assess the reliability of a distributed consensus algorithm (e.g., Paxos, Raft) for achieving fault tolerance in distributed systems.",Evaluate
Compare the pros and cons of two programming languages.,Analyze
Outline the main functions of a cell's organelles.,Understand
Explain following term related to distributed database system.,Understand
Explain the property of ceramic material.,Understand
How do you design a user-friendly website?,Apply
Judge the reliability of a penetration testing framework in identifying and exploiting security vulnerabilities in web applications.,Remember
Explain about predefined streams in Java.,Remember
Describe the THREE (3) roles for social media in branding.,Understand
Use the rule for a semicolon in a sentence.,Apply
"Explain the term conjugal families, by making reference to the different types of societies to which they could belong.",Understand
Propose a method for retrofitting existing buildings with energy-efficient systems and renewable energy technologies to reduce carbon emissions and energy costs.,Create
In Which part of the world does he live,Understand
"Question: 

Consider the following scenario in a university database setting:

You are tasked with creating a view named ""emp_info"" that includes employee ID (eid), name, salary, and the total percentage of time worked. The relevant tables are as follows:
- emp (eid, ename, age, salary)
- dept (did, dname, budget, managerId)
- works (eid, did, pct_time)

a) Define the concept of a database view and explain its significance in database management systems. Provide an example of how the ""emp_info"" view can be utilized in a university database context.

b) Outline the steps involved in creating the ""emp_info"" view using SQL syntax. Include the necessary SQL statements and explain the rationale behind each step.

c) Discuss the potential benefits and drawbacks of using views in a database system. Provide real-world examples from other industries, such as e-commerce or banking, where views could be beneficial or present challenges.",Remember
"Define attribute closure in the context of database management systems using Armstrong Axioms. Provide a real-world scenario from a university database where attribute closure computation would be relevant. Additionally, explain how keys can be computed using Armstrong Axioms.",Remember
How are recorders classified?,Understand
"Define the concept of ""supply and demand.""",Remember
Design a framework for implementing software-defined networking (SDN) solutions that enable dynamic network management and configuration.,Remember
What are the various types of manometers?,Understand
"Consider the following formatted academic database question:

**Question:**
Suppose you are designing a database for a university system. Provide a SQL query to find BM students who have a GPA greater than any of the IT students. 

Given the following tables:
- Student(StudentID, Name, Gpa, progId)
- Where progId represents the program ID (e.g., BM, IT, SE)

**Scenario:**
In a university database system, you are tasked with identifying BM students who have outperformed any of the IT students in terms of GPA.

**Query:**
```sql
SELECT s.Name 
FROM Student s 
WHERE s.progID = 'BM' 
AND s.gpa > ANY (SELECT s1.gpa FROM Student s1 WHERE s1.progId = 'IT')
```

**Data:**
| StudentID | Name   | Gpa | progId |
|-----------|--------|-----|--------|
| 1000      | Amal   | 3.2 | BM     |
| 1001      | Nimali | 2.8 | IT     |
| 1002      | Aruni  | 3.8 | SE     |
| 1003      | Surani | 2.5 | BM     |
| 1004      | Imali  | 4.0 | IT     |

**Output:**
Amal",Remember
Discuss TWO (2) disadvantages of tokenism that is usually used to create a positive image of the system that the system is fair and without discrimination. ,Apply
"Imagine you're implementing a business intelligence (BI) solution for a retail chain. Explain how you would use data visualization tools and dashboards to analyze sales trends, customer demographics, and inventory turnover.",Understand
Derive the torque equation of for DC motor.,Understand
Plan a machine learning pipeline for detecting and classifying anomalies in sensor data from industrial IoT devices to prevent equipment failures.,Understand
A 300 volt DC Shunt motor has armature resistance of 0.,Understand
Explain the supercharging with neat sketch.,Understand
Describe factors impacting on entrepreneurship.,Understand
Conducting a set-induction before presentation has several advantages. List the FIVE (5) reasons for use of the set-induction in a lesson. ,Remember
What are the software design quality attributes and quality guidelines?,Create
"Given an argument on any position, enumerate the logical fallacies in that argument.",Understand
Find the Laplace Transform of following using the properties.,Understand
Do you devise a systematic approach in order to get larger progressions,Understand
"State the significance of the keyword ""volatile"" in Java programming?",Remember
Write a short note on thermocouple.,Understand
Recognize the syntax for setting up a Verilog module for a counter circuit?,Understand
Describe in your own words how to copy text from one program into another.,Understand
"Question:
Updating views in a database management system can sometimes lead to ambiguity. Views that include aggregate functions are typically not updateable. For example, attempting to update the total percentage in a view may not be possible. 

a) Explain why updating views containing aggregate functions is not supported in database systems.
b) Provide a real-world scenario from a university database where updating a view with aggregate functions could lead to ambiguity.
c) Discuss alternative strategies that can be employed to handle updates in views with aggregate functions.",Understand
"What are different methods of sounding,State any one method in detail?",Remember
"You are tasked with designing a user-friendly mobile application for remote healthcare monitoring. Create wireframes and prototypes for the mobile app, incorporating features such as real-time health data monitoring, medication reminders, virtual consultations with healthcare providers, and emergency alert systems for timely intervention.",Apply
Demonstrate the steps of a computer algorithm using pseudocode.,Apply
"Consider a scenario in a university database where a relation R (A, B, C, D, E) has the following set of functional dependencies: {A → B, A → C, CD → E, B → D, E → A}. 

a) Compute the keys for relation R.",Understand
Debate the ethical implications of using facial recognition technology for identity verification in telecommunications services.,Understand
How do you design an energy-efficient heating and cooling system for a building?,Create
Invent a new protocol for secure and efficient communication between Internet of Things (IoT) devices in a smart home environment.,Create
Discuss âSwedish Slip Circle Methodâ for stability analysis of finite slope.,Understand
"Explain the process of creating a JDBC application in database programming. Provide a step-by-step guide outlining the necessary actions involved in developing a JDBC application. Additionally, illustrate each step with a real-world scenario from an e-commerce platform.",Understand
How could old artistic movements be combined to create a contemporary art movement?,Create
"Calculate Treynor's measure for AOV's Portfolio and the market. Compare the TWO (2) measures, and assess the performance of the AOV's portfolio during the year just ended. ",Apply
"You are developing an earthquake-resistant building design for high-rise structures in seismic-prone regions. Create a structural design that incorporates seismic-resistant features such as base isolation, energy dissipation devices, and ductile reinforcement detailing to mitigate earthquake-induced damage and ensure occupant safety, incorporating structural analysis, dynamic simulations, and performance-based design criteria for resilient building construction.",Create
"Besides Field Programmable Gate Array (FPGA), name one other type of programmable logic device. ",Remember
"Consider the following question:

**Question:**

The EXISTS operator in SQL is commonly used to check if a subquery returns any rows. Given the following scenario from a university database:

A university database contains tables for students, grades, and courses. The tables are structured as follows:

- Student table (SID, Name, GPA)
- Grades table (SID, CID, Grade)

Using the EXISTS operator, write a SQL query to find the names of students who have obtained a grade of 'A'. Provide the SQL query along with the necessary subquery.

**Scenario:**
In a university database system, the registrar wants to identify students who have excelled in their courses by obtaining an 'A' grade. This information is crucial for academic recognition and scholarship considerations.

**Your Answer:**  
```sql
SELECT s.Name
FROM Student s
WHERE EXISTS (
    SELECT *
    FROM Grades g
    WHERE g.SID = s.SID
    AND g.Grade = 'A'
);
```",Remember
A generating station has a connected load of 43MW and maximum demand of 20MW.,Understand
What is adjustable cushioning of air cylinder?,Remember
How can you relate knowledge from history and political science to understand governance?,Understand
 Explain the below methods in detail.,Understand
Design 2 bit synchronous up counter using MS JK flipflop.,Create
Recite the lyrics to your favorite song.,Understand
Explain the process of ideas generation. ,Understand
What are the different types of dc motors based on the connection of field and armature winding?,Understand
phase-locked loops (PLL)?,Understand
Apply the principles of architecture to design an eco-friendly building.,Apply
"Scenario: In a Hospital patient management system, there are different types of users such as doctors, nurses, administrative staff, and patients who need access to various securable entities. 

Enhanced question: ""Using the Hospital patient management system as a scenario, explain how the SQL server security framework manages access to securable entities considering the diverse roles and access requirements of users such as doctors, nurses, administrative staff, and patients.",Understand
Explain the disadvantages of polynomial representation using an array.,Understand
Can you list the ingredients needed for a classic spaghetti recipe?,Remember
"Question:
Explain the three main objectives to consider while designing a secure database application, namely secrecy, integrity, and availability. Provide a real-world scenario from a university database system for each objective to illustrate its importance.",Remember
"Question:
Consider a scenario where a hotel management system stores information about guests, bookings, and rooms. 

a) Retrieve the guest's name and phone number who made a reservation for a 'Deluxe' room for a duration of 2 days.",Remember
"Question:
Discuss the importance of security policy and access controls in a Database Management System (DBMS). Provide a real-world scenario from a banking system where the implementation of security policies and access controls is crucial. Differentiate between discretionary access control and mandatory access control mechanisms at the DBMS level.",Analyze
Differentiate between TCP and UDP protocol.,Analyze
Hypothesize an approach for enhancing the security and privacy of communication in vehicular ad hoc networks (VANETs) using blockchain technology.,Understand
Define the concept of overlapping constraint in the context of database management systems. Provide a real-world scenario where overlapping constraint could be applied and explain how it works.,Remember
"Question:
In a university database scenario, explain the importance of completing the following tasks by next week:
a) Trying out the self-test questions on the course website
b) Completing the tutorial and bringing the answers to the class
c) Answering the questions at the end of chapter 2 of ""Database Management Systems"" by Ramakrishnan & Gehrke.",Understand
Derive an expression for line to neutral capacitance of three phase overhead line with unsymmetrical spacing of conductors.,Understand
Explain the procedure for unconfined compression test with neat sketches.,Understand
What is mean by Constructor?,Remember
